Deck,Commander,Owner,Ranking,Games Played,Games Won,Win Rate,Average Position,Image
Gonti Theft,"Gonti, Canny Acquisitor",Noah,942.6223024,11,3,0.2727272727,2.272727273,https://cards.scryfall.io/art_crop/front/0/3/03a7e79f-625a-49ac-9cb1-e1fe5f51f5a0.jpg?1714110365
Roxanne Airstrike,"Roxanne, Starfall Savant",Hendrik,1130.139875,7,5,0.7142857143,1.714285714,https://cards.scryfall.io/art_crop/front/1/1/11fbe52f-febd-49fc-8391-28d3efe9c3eb.jpg?1712356193
Morska Clues,"Morska, Undersea Sleuth",Noah,1051.278889,5,1,0.2,1.8,https://cards.scryfall.io/art_crop/front/a/e/ae9ccfec-05c6-469e-b1dd-dfbafa1e927f.jpg?1706448877
Chichiro Equipment,Chishiro the Shattered Blade,Marshmallow,915.7978884,14,1,0.07142857143,2.214285714,https://cards.scryfall.io/art_crop/front/b/f/bffa36ac-137d-481c-b1b7-76a88ef15d54.jpg?1651655118
Inkling Tokens,"Felisa, Fang of Silverquill",Hanna,944.3029949,6,1,0.1666666667,2.333333333,https://cards.scryfall.io/art_crop/front/1/8/18b8abf0-e8c3-4c19-bdf1-18aabe75a3de.jpg?1674142459
Samwise Lifegain,Samwise Gamgee,Hanna,1067.655366,9,2,0.2222222222,1.888888889,https://cards.scryfall.io/art_crop/front/a/1/a1b6f13e-63d0-46bf-aa57-23c2dbdf62dd.jpg?1686969973
Satoru & Gyruda,Satoru the Infiltrator,Hendrik,1075.669419,7,3,0.4285714286,1.714285714,https://cards.scryfall.io/art_crop/front/a/c/acc9a5cc-2b3c-4c2f-8176-4a2d86265cc5.jpg?1712356202
Felix-Five Boots,Felix Five-Boots,Noah,986.5019577,2,0,0,2.5,https://cards.scryfall.io/art_crop/front/6/8/6800e935-d327-464c-ab88-7c0193827da3.jpg?1717566672
Dino Tribal,"Pantlaza, Sun-Favoured",Marshmallow,989.0738102,2,0,0,2,https://cards.scryfall.io/art_crop/front/2/5/2524645e-b066-4351-885b-10faa8d819d7.jpg?1699972737
Niv-Mizzet,"Niv-Mizzet, Parun",Jona,916.041015,4,1,0.25,3,https://cards.scryfall.io/art_crop/front/8/6/86c5c337-d25f-4c3e-9762-09ed0c2d36d7.jpg?1712354750
